fdc_id,ingredient,description
790774,banana,"Bananas, overripe, raw"
790991,banana,"Bananas, ripe and slightly ripe, raw"
1104647,garlic,"Garlic, raw"
1104705,flour,"Flour, soy, defatted"
1104766,flour,"Flour, soy, full-fat"
1104812,flour,"Flour, rice, brown"
1104867,flour,"Flour, rice, glutinous"
1104913,flour,"Flour, pastry, unenriched, unbleached"
1104962,onion,"Onions, white, raw"
1105073,banana,"Bananas, overripe, raw"
1105314,banana,"Bananas, ripe and slightly ripe, raw"
1750337,milk,"Soy milk, unsweetened, plain, shelf stable"
1750338,milk,"Almond milk, unsweetened, plain, shelf stable"
1750344,mushroom,"Mushroom, lion's mane"
1750345,mushroom,"Mushroom, oyster"
1750346,mushroom,"Mushrooms, shiitake"
1750347,mushroom,"Mushrooms, white button"
1750351,olive_oil,"Oil, olive, extra light"
1750352,spinach,"Spinach, baby"
1750353,spinach,"Spinach, mature"
1750354,tomato,"Tomato, roma"
1999626,mushroom,"Mushroom, lion's mane"
1999627,mushroom,"Mushroom, oyster"
1999628,mushroom,"Mushrooms, shiitake"
1999629,mushroom,"Mushrooms, white button"
1999630,milk,"Soy milk, unsweetened, plain, shelf stable"
1999631,milk,"Almond milk, unsweetened, plain, shelf stable"
1999632,spinach,"Spinach, baby"
1999633,spinach,"Spinach, mature"
1999634,tomato,"Tomato, roma"
2003586,flour,"Flour, 00"
2003587,flour,"Flour, spelt, whole grain"
2003588,flour,"Flour, semolina, coarse and semi-coarse"
2003589,flour,"Flour, semolina, fine"
2003596,tomato,"Tomato juice, with added ingredients, from concentrate, shelf stable"
2003598,mushroom,"Mushroom, portabella"
2003599,mushroom,"Mushroom, king oyster"
2003600,mushroom,"Mushroom, enoki"
2003601,mushroom,"Mushroom, crimini"
2003602,mushroom,"Mushroom, maitake"
2003603,mushroom,"Mushroom, beech"
2003604,mushroom,"Mushroom, pioppini"
2257044,milk,"Soy milk, sweetened, plain, refrigerated"
2257045,milk,"Almond milk, unsweetened, plain, refrigerated"
2257046,milk,"Oat milk, unsweetened, plain, refrigerated"
2259793,milk,"Yogurt, plain, whole milk"
2259794,milk,"Yogurt, Greek, plain, whole milk"
2259795,parmesan_cheese,"Cheese, parmesan, grated, refrigerated"
2259796,milk,"Cheese, feta, whole milk, crumbled"
2261420,flour,"Flour, almond"
2261421,flour,"Flour, oat, whole grain"
2261422,flour,"Flour, potato"
2262072,butter,"Peanut butter, creamy"
2262073,butter,"Sesame butter, creamy"
2262074,butter,"Almond butter, creamy"
2263889,blueberry,"Blueberries, raw"
2346392,pine_nuts,"Nuts, pine nuts, raw"
2346393,almonds,"Nuts, almonds, whole, raw"
2346394,walnuts,"Nuts, walnuts, English, halves, raw"
2346395,pecans,"Nuts, pecans, halves, raw"
2346400,beans,"Beans, snap, green, raw"
2346411,blueberry,"Blueberries, raw"
2512371,flour,"Flour, amaranth"
2512372,flour,"Flour, quinoa"
2512373,flour,"Flour, sorghum"
2512374,flour,"Flour, buckwheat"
2512375,flour,"Flour, rye"
2512376,flour,"Flour, barley"
2512377,flour,"Flour, cassava"
2514743,beef,"Beef, ground, 90% lean meat / 10% fat, raw"
2514744,beef,"Beef, ground, 80% lean meat / 20% fat, raw"
2514745,pork,"Pork, ground, raw"
2514746,chicken,"Chicken, ground, with additives, raw"
2515377,flour,"Flour, chestnut"
2515382,flour,"Flour, coconut"
2644281,beans,"Beans, cannellini, dry"
2644282,beans,"Chickpeas, (garbanzo beans, bengal gram), dry"
2644283,lentils,"Lentils, dry"
2644285,beans,"Beans, black, canned, sodium added, drained and rinsed"
2644286,beans,"Beans, navy, canned, sodium added, drained and rinsed"
2644287,beans,"Beans, cannellini, canned, sodium added, drained and rinsed"
2644288,beans,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed"
2644289,beans,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed"
2644290,beans,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed"
2644291,sugar,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed"
2644292,beans,"Beans, pinto, canned, sodium added, drained and rinsed"
2644294,beans,"Beans, great northern, canned, sodium added, drained and rinsed"
2646168,pork,"Pork, loin, boneless, raw"
2646169,pork,"Pork, loin, tenderloin, boneless, raw"
2646170,chicken,"Chicken, breast, boneless, skinless, raw"
2646171,chicken,"Chicken, thigh, boneless, skinless, raw"
2646172,beef,"Beef, ribeye, steak, boneless, choice, raw"
2646173,beef,"Beef, round, top round, boneless, choice, raw"
2646174,beef,"Beef, chuck, roast, boneless, choice, raw"
2646175,beef,"Beef, flank, steak, boneless, choice, raw"
2647437,yogurt,"Yogurt, plain, nonfat"
2684440,salmon,"Fish, salmon, sockeye, wild caught, raw"
2684441,salmon,"Fish, salmon, Atlantic, farm raised, raw"
2685568,zucchini,"Squash, summer, green, zucchini, includes skin, raw"
2685577,eggplant,"Eggplant, raw"
2685578,tomato,"Tomatoes, whole, canned, solids and liquids, with salt added"
2685579,tomato,"Tomato, sauce, canned, with salt added"
2685580,tomato,"Tomato, paste, canned, without salt added"
2685581,tomato,"Tomatoes, crushed, canned"
2685582,tomato,"Tomato, puree, canned"
2710815,apricot,"Apricot, with skin, raw"
2710824,avocado,"Avocado, Hass, peeled, raw"
2710831,kiwi,"Kiwifruit (kiwi), green, peeled, raw"
2710835,flour,"Corn flour, masa harina, white or yellow, dry, raw"
2710840,flour,"Sorghum flour, white, pearled, unenriched, dry, raw"
2727566,chicken,"Chicken, drumstick, meat and skin, raw"
2727567,chicken,"Chicken, thigh, meat and skin, raw"
2727568,chicken,"Chicken, wing, meat and skin, raw"
2727569,chicken,"Chicken, breast, meat and skin, raw"
2727571,bison,"Bison, ground, raw"
2727572,beef,"Beef, short loin (NY strip steak), raw"
2727573,beef,"Beef, tenderloin steak, raw"
2727574,beef,"Beef, top sirloin steak, raw"
2727575,pork,"Pork, chop, center cut, raw"
2727576,pork,"Pork, belly, with skin, raw"
2727579,pasta,"Squash, spaghetti, peeled, seeded, raw"
2727585,onion,"Green onion, (scallion), bulb and greens, root removed, raw"
2747652,olive_oil,"Anchovies, canned in olive oil, with salt, drained"
2747660,banana,"Peppers, banana or Hungarian wax, seeded, raw"
2747669,snapper,"Snapper, frozen, wild caught"
2747672,swordfish,"Swordfish, frozen, wild caught"
2747673,tuna,"Tuna, ahi or yellowfin, frozen, wild caught"
